Question,Answer
What is meant by “Replace Conditional with Polymorphism”?,"This technique replaces complex conditional logic (e.g., if-else or switch statements) with polymorphic behavior by delegating responsibility to subclasses or strategy objects, enhancing readability and scalability of the system design."
How can you address tightly coupled components during refactoring?,"By introducing interfaces, dependency injection, or other design patterns like Adapter or Facade to decouple components and promote modularity in your system architecture."
What does “God Object” mean as a type of smell in OOD?,"A God Object refers to an object that knows too much or does too much within a system, violating principles like Single Responsibility and leading to poor modularity and maintainability issues."
How can you fix a God Object during refactoring?,"Distribute its responsibilities across smaller, more focused classes that adhere to Single Responsibility Principle (SRP). Use techniques like Extract Class or Extract Module if necessary."
"What is “Data Clump,” and why is it considered smelly?","Data Clump occurs when groups of variables are frequently passed together throughout methods or classes instead of being encapsulated into their own object/class structure, leading to redundancy and reduced clarity about their relationship/purpose within your program logic flow."
How do we resolve Data Clumps effectively while maintaining backward compatibility wherever possible?,"You can resolve Data Clumps by encapsulating the grouped variables into a new class or data structure and ensuring that interfaces or methods interacting with these clumped variables are updated appropriately, ensuring backward compatibility is maintained where feasible."
What is an “Obsolete Comment” in the context of code smells?,A comment that no longer accurately describes the code it refers to.
How should you handle commented-out code that is no longer needed?,"Remove it, but if necessary, save a backup or use version control for reference."
Why are redundant comments considered a code smell?,"They state information that is already apparent from the code itself, cluttering the codebase unnecessarily."
What is one way to address long comments that explain overly complex logic?,Simplify the underlying code so it becomes self-explanatory and reduce or remove the comment.
What is a drawback of having too many comments in your codebase?,"Comments can become outdated quickly, leading to misleading information and reduced trust in all comments."
What is a “Long Function” and how can it be refactored?,"A function with more than 10 lines of code; it can be refactored by breaking it into smaller, more focused functions."
What does it mean for a function to have “Many Jobs”?,"The function performs multiple unrelated tasks or responsibilities, making it harder to understand and maintain."
How do you fix a function with many jobs?,"Break it into multiple smaller functions, each handling a single responsibility."
Why are functions with unclear names considered a smell?,"They make the purpose of the function ambiguous, reducing readability and increasing maintenance difficulty."
"What is an example of poor naming for a function, and how could you improve it?",Poor Example: doStuff() Improved Example: calculateTotalPrice()
What does “Duplicated Code” refer to as a smell?,Code that appears in multiple places within the system instead of being centralized into reusable components or functions.
How can duplicated code be addressed during refactoring?,Extract common logic into shared methods or classes to promote reuse and reduce redundancy.
Why is having large classes considered a smell?,"Large classes often violate the Single Responsibility Principle (SRP) by trying to handle too many concerns at once, making them harder to maintain and test effectively."
What is “Feature Envy” as a type of smell in object-oriented programming?,"When one class excessively uses methods or properties from another class instead of focusing on its own responsibilities, indicating poor encapsulation or cohesion issues between classes."
How can you resolve Feature Envy during refactoring?,Move the behavior closer to where the data resides by transferring methods or logic into the appropriate class(es).
What does “Shotgun Surgery” mean as a code smell?,When making a small change requires modifying many different parts of the system due to tight coupling between components or poor modularity design practices.
How do you fix Shotgun Surgery during refactoring?,Group related functionality together into cohesive modules or classes so changes are localized rather than scattered across multiple locations in the system’s architecture.
Why are global variables considered smelly in software engineering practices?,"They introduce hidden dependencies between parts of your program, making debugging difficult and increasing risk when changes occur since any part of your program could modify them unexpectedly at runtime without clear traceability back through call stacks/functions/classes/etc."
What does “Primitive Obsession” mean as a type of smell in software design?,"Overuse of primitive data types (e.g., strings, integers) instead of creating domain-specific objects that better represent concepts within your application’s problem domain (e.g., using String for phone numbers instead of creating a PhoneNumber class)."
How can Primitive Obsession be resolved during refactoring?,Replace primitive types with value objects or domain-specific types that encapsulate behavior and validation rules relevant to their role within your application’s context.
"What is “Lazy Class,” and why is it considered smelly?",A class that doesn’t do enough work to justify its existence; this often happens when functionality has been moved elsewhere but leftover scaffolding remains unused/unnecessary after such migrations/refactorings.
How do you deal with Lazy Classes during refactoring efforts aimed at improving overall quality/maintainability?,"Identify whether the class has responsibilities that can be redistributed to other classes. If the class is redundant, consider removing it. If it still serves a purpose, refactor it to ensure it is used effectively, or merge it with another class to consolidate functionality."
What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.
Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding."
Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods."
"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.
Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code."
What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state."
Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection."
"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC."
"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.
What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion."
What is the difference between an array and a linked list?,"An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size."
Explain the time complexity of an algorithm.,"Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation."
Describe the difference between a binary search tree and a hash table.,"A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order."
What is a linked list and how does it work?,"A linked list is a series of nodes each containing data and a reference to the next node, allowing dynamic memory allocation and efficient insertions/deletions."
Explain the concept of recursion.,"Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion."
"What is Big O notation, and why is it important?","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates."
How do you perform a binary search on a sorted array?,"Binary search divides the search interval in half, repeatedly comparing the middle element to the target."
Discuss the advantages and disadvantages of different sorting algorithms.,Sorting algorithms vary in time/space complexity and stability. Quick Sort and Merge Sort are fast but more complex; Insertion and Bubble Sort are simple but slower.
Explain how a hash table works.,"A hash table uses a hash function to map keys to values in an array, allowing fast O(1) access."
What is dynamic programming?,"Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations."
What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development."
Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns."
What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture."
"Explain the use of ""this"" keyword in JavaScript.","""this"" in JavaScript refers to the execution context, varying based on function calling, global scope, or event handlers."
What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.
What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2."
Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development."
Explain the concept of multi-threading in Java.,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance."
What is a Singleton pattern?,"Singleton ensures a class has only one instance and provides a global access point to it, useful for shared resources."
What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch."
"What is a database index, and why is it important?","A database index speeds up data retrieval, similar to a book's index, improving query performance."
Explain the differences between SQL and NoSQL databases.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.
What is a foreign key in a database?,"A foreign key links two tables by referring to the primary key in another table, ensuring referential integrity."
Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes)."
How do you optimize a SQL query for better performance?,"Optimize using indexes, efficient SQL, limiting data retrieval, analyzing query performance, and considering denormalization."
What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms."
Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.
"What is a stored procedure, and when would you use one?","Stored procedures are precompiled SQL statements for data manipulation and logic, used for repetitive tasks and improving performance."
"What is database denormalization, and when is it appropriate?","Denormalization introduces redundancy for performance, useful in read-heavy scenarios at the expense of storage and complexity."
Discuss the advantages and disadvantages of using an ORM tool.,ORM simplifies database interactions and is language-agnostic. It can introduce performance overhead and may limit database features.
What is the Document Object Model (DOM)?,"The DOM is a tree-like representation of a web page's structure, allowing manipulation of content, structure, and style via programming languages."
Explain the difference between HTTP and HTTPS.,"HTTP is an unsecured data transmission protocol; HTTPS is secure, encrypting data in transit using SSL/TLS."
What is CORS (Cross-Origin Resource Sharing)?,"CORS is a security measure allowing or restricting resources requested from another domain, managed via HTTP headers."
Describe the purpose of a web server like Apache or Nginx.,"Web servers handle HTTP requests, serve content, manage security, routing, and can act as reverse proxies for application servers."
"What is a cookie, and how does it work?","Cookies are data stored on the user's computer by the web server, sent with HTTP requests for session management, tracking, and storing preferences."
What is a session in web development?,"A session maintains stateful information across multiple HTTP requests, typically for user authentication and data storage."
Explain the concept of responsive web design.,"Responsive design ensures web content functions across different devices and screen sizes, using CSS media queries and flexible layouts."
Describe the differences between GET and POST requests.,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body."
What is the importance of SEO in web development?,"SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure."
How does a web browser render a web page?,"Browsers parse HTML to create a DOM, fetch resources, build a rendering tree, apply CSS, calculate layout, and paint the page on the screen."
"What is unit testing, and why is it important?","Unit testing evaluates individual code components, ensuring correctness and facilitating early defect detection."
Explain the difference between black-box and white-box testing.,Black-box tests functionality without internal code knowledge; white-box tests internal code logic and structure.
What is regression testing?,"Regression testing ensures new code changes don't break existing features, maintaining functionality over updates."
Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing."
What is continuous integration (CI) and continuous delivery (CD)?,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.
Explain the concept of code coverage in testing.,"Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas."
What is a test case and how do you write one?,"A test case outlines test conditions, inputs, and expected results, structured with objective, steps, and documentation."
"What is load testing, and why is it necessary?","Load testing evaluates system performance under expected load conditions, identifying bottlenecks and scalability issues."
Describe the differences between manual and automated testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.
What is a bug tracking system?,"A bug tracking system logs, manages, and resolves issues in software development, ensuring systematic problem handling."
"What is Git, and how does it work?","Git is a distributed version control system for tracking changes in source code, allowing collaborative work and branch management."
Explain the difference between Git and SVN (Subversion).,"Git is distributed, with local repository copies; SVN is centralized, requiring network connectivity for repository access."
"What is a merge conflict, and how do you resolve it in Git?",Merge conflicts occur when changes in different branches clash. Resolve by manually editing files and committing the result.
Describe the purpose of branching in version control.,"Branching isolates development work without affecting other parts of the repository, aiding in feature development and experimentation."
"What is a pull request (PR), and how does it work?","A PR is a request to merge code from one branch to another, facilitating code review and discussion before integration."
How do you handle code conflicts in a team project?,"Resolve code conflicts through communication, careful review, manual merging, testing, and documenting resolutions."
"What is code refactoring, and why is it important?","Refactoring improves code structure and readability without altering functionality, enhancing maintainability and quality."
Explain the role of Git branching strategies like GitFlow.,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development."
"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.
Discuss the advantages of distributed version control systems.,"Distributed systems allow offline work, flexible branching/merging, faster operations, redundancy, and collaborative workflows."
Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance."
"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability."
Explain the importance of caching in web applications.,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience."
What is a CDN (Content Delivery Network)?,"A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times."
Discuss the pros and cons of monolithic vs. microservices architecture.,Monolithic is simple but less scalable; microservices offer scalability and flexibility but are complex to manage.
What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions."
Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times."
How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies."
Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security."
"What is a message broker, and when would you use one?","A message broker facilitates communication in distributed systems through asynchronous messaging, used in event-driven architectures and high-volume scenarios."
"What is SQL injection, and how can it be prevented?","SQL injection exploits vulnerabilities to execute malicious SQL. Prevent with parameterized queries, input validation, and least privilege access."
Explain the concept of Cross-Site Scripting (XSS).,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP."
What is two-factor authentication (2FA)?,2FA adds extra security by requiring two verification forms: something known (password) and something possessed (device).
Describe the process of password hashing and salting.,"Hashing transforms passwords into hashes using algorithms; salting adds randomness, enhancing security against attacks."
"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization."
How do you protect against session fixation attacks?,"Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication."
Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.
What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis."
How can you secure sensitive data in a mobile app?,"Secure data by encrypting at rest and in transit, using secure authentication, and following best practices."
Discuss the importance of security in API design.,"API security is vital to protect data and prevent unauthorized access, using authentication, validation, rate limiting, and encryption."
"What is Docker, and how does it work?","Docker is a containerization platform packaging applications with dependencies, ensuring consistent environments across systems."
Explain the concept of container orchestration.,"Container orchestration automates deployment, scaling, and management of containers, optimizing resource use and handling failures."
"What is Kubernetes, and why is it popular in container management?","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support."
Describe the process of continuous integration and continuous delivery (CI/CD).,"CI/CD automates build, test, and deployment processes, delivering code changes rapidly and reliably to production."
What is infrastructure as code (IaC)?,"IaC manages infrastructure using code, ensuring consistency, automation, and version control in deployments."
How do you monitor the performance of a web application?,"Monitor using tools to collect and analyze data on response times, resource utilization, error rates, and user experience."
Discuss the importance of automated testing in CI/CD pipelines.,"Automated testing in CI/CD ensures code changes are defect-free, enhancing reliability and speeding up delivery."
"What is Blue-Green deployment, and when would you use it?",Blue-Green deployment alternates between two production environments for easy rollbacks and minimal downtime during updates.
Explain the role of a configuration management tool like Ansible.,"Configuration management tools automate provisioning and management of software and infrastructure, ensuring consistency and efficiency."
"Describe the benefits of using a cloud platform like AWS, Azure, or Google Cloud.","Cloud platforms offer scalability, cost-efficiency, global reach, and managed services, reducing operational burdens with security and compliance features."
Explain the concept of 'closure' in JavaScript.,A closure is a function that remembers its outer variables and can access them.
Describe the use of Docker in a DevOps environment.,"Docker allows for packaging applications in containers, facilitating consistent deployment across different environments."
What is a 'race condition' in software development?,A race condition occurs when the system's behavior depends on the sequence or timing of other uncontrollable events.
How would you optimize a website's load time?,"Optimizations can include minimizing HTTP requests, using CDNs, compressing files, caching, etc."
What is the difference between SQL and NoSQL databases?,"SQL databases are structured, use SQL, and are better for complex queries. NoSQL databases are flexible, scale well, and are good for hierarchical data storage."
Can you explain the concept of 'state' in React?,State in React is an object that holds some information that may change over the lifecycle of the component.
What is continuous integration in DevOps?,Continuous integration is the practice of automating the integration of code changes into a software project.
How do you implement a binary search algorithm?,"Binary search involves repeatedly dividing in half the portion of the list that could contain the item, until you've narrowed the possibilities to just one."
Describe the MVC architecture.,"MVC architecture stands for Model-View-Controller, separating the application into three interconnected components."
What are microservices and how do they differ from monolithic architectures?,"Microservices are a software development technique—a variant of the service-oriented architecture architectural style that structures an application as a collection of loosely coupled services. In a monolithic architecture, all components are interconnected and interdependent."
Explain the difference between '==' and '===' in JavaScript.,"'==' compares values after type conversion, while '===' compares both value and type."
What is Kubernetes and how does it relate to containerization?,"Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts."
Describe how you would implement a RESTful API in a back-end application.,"A RESTful API is implemented by setting up HTTP routes (GET, POST, PUT, DELETE) and handling requests and responses in a stateless manner, often using JSON."
What are the benefits of server-side rendering vs client-side rendering?,"Server-side rendering improves initial page load time and SEO, while client-side rendering is good for dynamic websites with less initial loading content."
How do NoSQL databases handle data scaling compared to traditional SQL databases?,NoSQL databases are generally more scalable and provide superior performance for large-scale applications due to their flexibility in handling unstructured data.
Explain the use of hooks in React.,Hooks are functions that let you 'hook into' React state and lifecycle features from function components.
